2	53	0.3
2	47	0.13333334
2	59	0.26666668
2	5	0.93333334
2	50	0.26666668
2	4	0.9
2	56	0.3
2	44	0.033333335
45	49	0.93333334
45	48	0.8666667
45	46	0.93333334
39	42	1.0
39	43	0.8666667
39	40	0.96666664
26	53	0.1
26	29	0.96666664
26	38	0.26666668
26	47	0.3
26	35	0.3
26	50	0.2
26	41	0.26666668
26	28	0.9
26	32	0.26666668
26	56	0.033333335
26	44	0.26666668
42	45	0.93333334
42	43	0.8666667
42	46	0.8666667
55	59	0.93333334
55	57	0.93333334
55	58	0.93333334
55	56	0.9
36	37	0.9
36	39	0.9
36	40	0.9
49	53	0.8333333
49	52	0.93333334
49	50	0.8666667
49	51	0.9
9	10	0.93333334
9	12	0.8333333
9	13	0.9
29	38	0.23333333
29	47	0.2
29	35	0.26666668
29	50	0.13333334
29	41	0.3
29	32	0.3
29	44	0.3
52	53	0.93333334
52	55	0.93333334
52	54	0.93333334
52	56	1.0
19	23	0.9
19	22	0.93333334
19	21	0.93333334
19	20	0.93333334
32	35	0.93333334
32	34	0.73333335
16	19	0.8333333
16	18	0.9
16	20	0.8333333
16	17	0.96666664
37	39	0.8333333
37	38	0.96666664
37	41	0.9
37	40	0.8333333
22	23	0.93333334
22	26	0.8666667
22	24	0.93333334
22	25	0.9
5	53	0.23333333
5	7	0.93333334
5	47	0.23333333
5	59	0.26666668
5	50	0.26666668
5	41	0.06666667
5	8	1.0
5	56	0.3
5	44	0.16666667
31	33	0.96666664
31	35	0.93333334
31	34	0.96666664
31	32	0.9
46	49	0.96666664
46	47	0.8666667
46	50	0.9
46	48	0.96666664
8	53	0.26666668
8	11	0.8666667
8	38	0.06666667
8	47	0.23333333
8	59	0.3
8	50	0.3
8	10	0.8666667
8	41	0.16666667
8	56	0.3
8	44	0.26666668
28	29	0.93333334
25	29	0.9
25	26	0.9
25	28	0.96666664
25	27	0.93333334
40	42	0.96666664
40	43	0.96666664
40	41	0.8666667
40	44	0.93333334
58	59	0.8666667
10	11	0.93333334
10	14	0.9
10	12	0.8
10	13	0.93333334
43	45	0.8666667
43	47	0.93333334
43	46	0.8666667
43	44	0.8666667
48	49	0.93333334
48	52	0.9
48	51	0.8333333
13	16	0.9
13	14	0.93333334
13	15	0.9
13	17	0.8666667
11	53	0.26666668
11	14	0.8666667
11	38	0.13333334
11	47	0.26666668
11	59	0.26666668
11	35	0.06666667
11	50	0.26666668
11	41	0.16666667
11	13	0.96666664
11	56	0.3
11	44	0.3
7	11	0.93333334
7	9	0.8666667
7	10	1.0
7	8	1.0
4	6	0.93333334
4	7	0.8333333
4	5	0.93333334
4	8	0.8
51	52	0.8333333
51	55	0.96666664
51	54	0.8666667
20	53	0.26666668
20	23	0.93333334
20	22	0.9
20	38	0.3
20	47	0.3
20	59	0.13333334
20	35	0.26666668
20	50	0.26666668
20	41	0.3
20	32	0.2
20	56	0.2
20	44	0.3
17	53	0.23333333
17	38	0.26666668
17	47	0.3
17	59	0.23333333
17	35	0.26666668
17	19	0.93333334
17	50	0.26666668
17	41	0.26666668
17	20	1.0
17	32	0.16666667
17	56	0.26666668
17	44	0.26666668
14	53	0.26666668
14	16	0.93333334
14	38	0.26666668
14	47	0.26666668
14	59	0.26666668
14	35	0.16666667
14	50	0.3
14	41	0.3
14	17	0.93333334
14	32	0.06666667
14	56	0.3
14	44	0.26666668
57	58	0.9
54	57	0.96666664
54	55	0.93333334
54	58	0.96666664
24	28	0.93333334
24	25	0.8333333
24	27	0.96666664
34	37	0.93333334
34	38	0.93333334
34	35	0.8333333
34	36	0.96666664
1	2	0.8666667
1	3	0.8666667
1	5	0.96666664
1	4	0.9
27	28	0.96666664
44	47	0.8333333
44	46	0.96666664
53	55	0.93333334
53	56	0.96666664
21	22	0.8666667
21	24	0.8666667
21	25	0.9
47	49	0.8666667
47	50	0.93333334
15	16	0.93333334
15	19	0.93333334
15	18	0.9
50	53	0.76666665
50	52	0.8
12	16	0.8666667
12	15	0.9
12	13	0.93333334
41	43	0.8
41	44	0.96666664
56	59	0.93333334
56	58	0.8333333
23	53	0.23333333
23	38	0.26666668
23	47	0.3
23	59	0.033333335
23	26	1.0
23	35	0.23333333
23	50	0.3
23	41	0.3
23	32	0.23333333
23	25	0.9
23	56	0.1
23	44	0.26666668
6	9	0.93333334
6	7	0.93333334
6	10	0.93333334
33	37	0.9
33	36	0.96666664
33	34	0.93333334
3	6	0.9
3	7	0.8666667
3	4	0.96666664
38	41	0.8333333
38	40	0.93333334
0	3	0.96666664
0	4	0.9
0	1	0.93333334
18	22	0.9
18	21	0.8666667
18	19	0.9
35	37	0.96666664
35	38	0.76666665
30	33	0.93333334
30	31	0.93333334
30	34	0.8333333
